Position,Player,Game,Position (copy),Injury,Opponent,Score,CHIP ($k),GameAdj,Team,Season
F,Barkov,1,F,Knee,CHI,3-2,122,1,Florida,2025/26
F,Batherson,1,F,Upper body,@TBL,5-4,61,1,Ottawa,2025/26
F,Benn,1,F,Upper body,@WPG,5-4,49,1,Dallas,2025/26
F,Benson,1,F,Facial,NYR,0-4,20,1,Buffalo,2025/26
G,Blackwood,1,G,Lower body,@LAK,4-1,64,1,Colorado,2025/26
D,Brodin,1,D,Upper body,@STL,5-0,73,1,Minnesota,2025/26
G,Brossoit,1,G,Hip,@FLA,2-3,40,1,Chicago,2025/26
F,Bäck,1,F,Undisclosed,@WPG,5-4,10,1,Dallas,2025/26
F,Bļugers,1,F,Undisclosed,CGY,5-1,22,1,Vancouver,2025/26
"F ""Retired""",Couture,1,"F ""Retired""",Groin,VGK,3-4 (OT),98,1,San Jose,2025/26
"D ""Retired""",Ellis,1,"D ""Retired""",Back,VGK,3-4 (OT),76,1,San Jose,2025/26
F,Engvall,1,F,Ankle,@PIT,3-4,37,1,NY Islanders,2025/26
D,Evans,1,D,Upper body,ANA,3-1,25,1,Seattle,2025/26
F,Girgensons,1,F,Undisclosed,OTT,4-5,10,1,Tampa Bay,2025/26
F,Greenway,1,F,Lower body,NYR,0-4,49,1,Buffalo,2025/26
D,Hague,1,D,Upper body,CBJ,2-1,67,1,Nashville,2025/26
F,Harkins,1,F,Upper body,@SEA,1-3,10,1,Anaheim,2025/26
F,Hayton,1,F,Undisclosed,@COL,1-2,32,1,Utah,2025/26
F,Huberdeau,1,F,Undisclosed,@EDM,4-3 (SO),128,1,Calgary,2025/26
F,Hyman,1,F,Wrist,CGY,3-4 (SO),67,1,Edmonton,2025/26
F,Höglander,1,F,Lower body,CGY,5-1,37,1,Vancouver,2025/26
F,Janmark,1,F,Undisclosed,CGY,3-4 (SO),18,1,Edmonton,2025/26
D,Joseph,1,D,Undisclosed,CGY,5-1,9,1,Vancouver,2025/26
F,K. Hayes,1,F,Upper body,@NYR,3-0,44,1,Pittsburgh,2025/26
F,Kakko,1,F,Hand,ANA,3-1,55,1,Seattle,2025/26
F,Kerfoot,1,F,Abdominal,@COL,1-2,37,1,Utah,2025/26
D,Kesselring,1,D,Lower body,NYR,0-4,17,1,Buffalo,2025/26
D,Kleven,1,D,Undisclosed,@TBL,5-4,20,1,Ottawa,2025/26
G,Kochetkov,1,G,Lower body,NJD,6-3,24,1,Carolina,2025/26
D,Kovacevic,1,D,Knee,@CAR,3-6,49,1,New Jersey,2025/26
"D ""Retired""",Krug,1,"D ""Retired""",Ankle,MIN,0-5,79,1,St. Louis,2025/26
F,Lammikko,1,F,Lower body,@CAR,3-6,10,1,New Jersey,2025/26
F,Laughton,1,F,Lower body,MTL,5-2,18,1,Toronto,2025/26
F,Lowry,1,F,Hip,DAL,4-5,40,1,Winnipeg,2025/26
G,Luukkonen,1,G,Lower body,NYR,0-4,58,1,Buffalo,2025/26
D,McIlrath,1,D,Lower body,BOS,1-3,10,1,Washington,2025/26
F,Noesen,1,F,Groin,@CAR,3-6,34,1,New Jersey,2025/26
F,Nosek,1,F,Knee,CHI,3-2,9,1,Florida,2025/26
F,O'Brien,1,F,Undisclosed,@COL,1-2,12,1,Utah,2025/26
F,O'Connor,1,F,Hip,@LAK,4-1,30,1,Colorado,2025/26
F,Paul,1,F,Upper body,OTT,4-5,38,1,Tampa Bay,2025/26
F,Perfetti,1,F,Ankle,DAL,4-5,40,1,Winnipeg,2025/26
F,Perry,1,F,Knee,COL,1-4,49,1,Los Angeles,2025/26
D,Pietrangelo,1,D,Hip,LAK,5-6 (SO),107,1,Vegas,2025/26
F,Pospíšil,1,F,Undisclosed,@EDM,4-3 (SO),12,1,Calgary,2025/26
D,Power,1,D,Illness,NYR,0-4,102,1,Buffalo,2025/26
"G ""Retired""",Price,1,"G ""Retired""",Knee,VGK,3-4 (OT),128,1,San Jose,2025/26
D,Ristolainen,1,D,Triceps,@FLA,1-2,62,1,Philadelphia,2025/26
F,Rust,1,F,Lower body,@NYR,3-0,63,1,Pittsburgh,2025/26
D,Samberg,1,D,Wrist,DAL,4-5,70,1,Winnipeg,2025/26
F,Slaggert,1,F,Lower body,@FLA,2-3,11,1,Chicago,2025/26
D,St. Ivany,1,D,Lower body,@NYR,3-0,9,1,Pittsburgh,2025/26
F,Strome,1,F,Upper body,@SEA,1-3,61,1,Anaheim,2025/26
F,Sturm,1,F,Back,@STL,5-0,24,1,Minnesota,2025/26
F,Sundqvist,1,F,Lower body,MIN,0-5,18,1,St. Louis,2025/26
F,Tkachuk,1,F,Groin,CHI,3-2,116,1,Florida,2025/26
G,Varlamov,1,G,Knee,@PIT,3-4,34,1,NY Islanders,2025/26
D,Vlasic,1,D,Lower body,@FLA,2-3,56,1,Chicago,2025/26
D,Walman,1,D,Undisclosed,CGY,3-4 (SO),41,1,Edmonton,2025/26
"D ""Retired""",Weber,1,"D ""Retired""",Ankle,@FLA,2-3,96,1,Chicago,2025/26
D,York,1,D,Lower body,@FLA,1-2,63,1,Philadelphia,2025/26
F,Zuccarello,1,F,Lower body,@STL,5-0,50,1,Minnesota,2025/26
F,Dadonov,2,F,Hand,@TBL,5-3,40,2,New Jersey,2025/26
D,Hanifin,2,D,Lower body,@SJS,4-3 (OT),90,2,Vegas,2025/26
F,Norris,2,F,Upper body,@BOS,1-3,97,2,Buffalo,2025/26
