Player,GameAdj,Game,Injury Type,Position,Season,Team
"Antropov, Nik",1,1,Knee,F,2000/01,Toronto
"Bergevin, Marc",1,1,Thumb,D,2000/01,St. Louis
"Brown, Doug",1,1,Knee,F,2000/01,Detroit
"Burt, Adam",1,1,Cheek,D,2000/01,Atlanta
"Cairns, Eric",1,1,Thumb,D,2000/01,NY Islanders
"Chebaturkin, Vladimir",1,1,Groin,D,2000/01,St. Louis
"Cullimore, Jassen",1,1,Shoulder,D,2000/01,Tampa Bay
"Domenichelli, Hnat",1,1,Ankle,F,2000/01,Atlanta
"Dykhuis, Karl",1,1,Abdominal,D,2000/01,Montreal
"Ference, Brad",1,1,Jaw,D,2000/01,Florida
"Fiset, Stéphane",1,1,Knee,G,2000/01,Los Angeles
"Grahame, John",1,1,Ankle,G,2000/01,Boston
"Green, Josh",1,1,Shoulder,F,2000/01,Edmonton
"Gusev, Sergey",1,1,Knee,D,2000/01,Tampa Bay
"Handzuš, Michal",1,1,Abdominal,F,2000/01,St. Louis
"Henderson, Jay",1,1,Concussion,F,2000/01,Boston
"Heward, Jamie",1,1,Groin,D,2000/01,Columbus
"Jonsson, Hans",1,1,Foot,D,2000/01,Pittsburgh
"Knutsen, Espen",1,1,Finger,F,2000/01,Columbus
"Kölzig, Olaf",1,1,Knee,G,2000/01,Washington
"Malík, Marek",1,1,Neck,D,2000/01,Carolina
"McKenna, Steve",1,1,Back,F,2000/01,Minnesota
"Moreau, Ethan",1,1,Shoulder,F,2000/01,Edmonton
"Murphy, Gord",1,1,Shoulder,D,2000/01,Atlanta
"Nickulas, Eric",1,1,Charley horse,F,2000/01,Boston
"Patrick, James",1,1,Shoulder,D,2000/01,Buffalo
"Perreault, Yanic",1,1,Knee,F,2000/01,Toronto
"Pratt, Nolan",1,1,Wrist,D,2000/01,Colorado
"Redden, Wade",1,1,Hand,D,2000/01,Ottawa
"Reirden, Todd",1,1,Foot,D,2000/01,St. Louis
"Richter, Mike",1,1,Knee,G,2000/01,NY Rangers
"Rucchin, Steve",1,1,Hand,F,2000/01,Anaheim
"Salo, Sami",1,1,Ankle,D,2000/01,Ottawa
"Savage, André",1,1,Shoulder,F,2000/01,Boston
"Sim, Jon",1,1,Shoulder,F,2000/01,Dallas
"Simpson, Todd",1,1,Toe,D,2000/01,Florida
"Smith, Steve",1,1,Back,D,2000/01,Calgary
"Souray, Sheldon",1,1,Abdominal,D,2000/01,Montreal
"Ylönen, Juha",1,1,Shoulder,F,2000/01,Phoenix
"Yzerman, Steve",1,1,Knee,F,2000/01,Detroit
"Zubrus, Dainius",1,1,Ribs,F,2000/01,Montreal
"Štefan, Patrik",1,1,Groin,F,2000/01,Atlanta
"Brewer, Eric",2,2,Hip,D,2000/01,Edmonton
"Brière, Daniel",2,2,Groin,F,2000/01,Phoenix
"Coffey, Paul",2,2,Shoulder,D,2000/01,Boston
"Goc, Sascha",2,2,Ankle,D,2000/01,New Jersey
"Hašek, Dominik",2,2,Knee,G,2000/01,Buffalo
"Houlder, Bill",2,2,Flu,D,2000/01,Nashville
"Lintner, Richard",2,2,Groin,D,2000/01,Nashville
"Malakhov, Vladimir",2,2,Knee,D,2000/01,NY Rangers
"Nolan, Owen",2,2,Hernia,F,2000/01,San Jose
"Petrovický, Ronald",2,2,Wrist,F,2000/01,Calgary
"Wallin, Niclas",2,2,Wrist,D,2000/01,Carolina
"Dafoe, Byron",3,3,Hamstring,G,2000/01,Boston
"Eastwood, Mike",3,3,Ankle,F,2000/01,St. Louis
